psu_number,dist_name,hh_number,s03_code,q03_03
4049.0,Sunsari,10.0,112.0,0.0
4050.0,Sunsari,1.0,112.0,0.0
4050.0,Sunsari,6.0,112.0,0.0
4050.0,Sunsari,4.0,112.0,0.0
4050.0,Sunsari,5.0,112.0,0.0
4050.0,Sunsari,3.0,112.0,0.0
4050.0,Sunsari,8.0,112.0,0.0
4050.0,Sunsari,10.0,112.0,0.0
4050.0,Sunsari,7.0,112.0,0.0
4050.0,Sunsari,12.0,112.0,0.0
4050.0,Sunsari,11.0,112.0,0.0
4050.0,Sunsari,9.0,112.0,0.0
4050.0,Sunsari,2.0,112.0,0.0
4051.0,Sunsari,12.0,112.0,0.0
4051.0,Sunsari,8.0,112.0,0.0
4051.0,Sunsari,9.0,112.0,0.0
4051.0,Sunsari,4.0,112.0,0.0
4051.0,Sunsari,2.0,112.0,0.0
4051.0,Sunsari,10.0,112.0,0.0
4051.0,Sunsari,5.0,112.0,0.0
4051.0,Sunsari,6.0,112.0,0.0
4051.0,Sunsari,3.0,112.0,0.0
4051.0,Sunsari,1.0,112.0,0.0
4051.0,Sunsari,11.0,112.0,0.0
4051.0,Sunsari,7.0,112.0,0.0
4052.0,Sunsari,7.0,112.0,0.0
4052.0,Sunsari,5.0,112.0,0.0
